Date,Open,High,Low,Close
2019-10-09,89.75,89.75,89.75,89.75
2019-10-10,89.75,89.75,89.75,89.75
2019-10-11,89.75,89.75,89.75,89.75
2019-10-15,89.75,89.75,89.75,89.75
2019-10-16,89.75,89.75,89.75,89.75
2019-10-17,89.75,89.75,89.75,89.75
2019-10-18,89.75,89.75,89.75,89.75
2019-10-21,89.75,89.75,89.75,89.75
2019-10-22,89.75,89.75,89.75,89.75
2019-10-24,90.0,90.0,90.0,90.0
2019-10-25,90.0,90.0,90.0,90.0
2019-10-28,90.0,90.0,90.0,90.0
2019-10-29,88.5,89.0,88.5,89.0
2019-10-30,88.25,88.25,88.25,88.25
2019-10-31,88.25,88.25,88.25,88.25
2019-11-01,88.25,88.25,88.25,88.25
2019-11-04,90.0,90.0,90.0,90.0
2019-11-05,90.0,90.0,90.0,90.0
2019-11-06,90.0,90.0,90.0,90.0
2019-11-07,87.0,90.0,86.5,90.0
2019-11-08,89.0,89.0,88.25,88.25
2019-11-11,88.25,88.25,88.25,88.25
2019-11-12,88.5,88.5,88.5,88.5
2019-11-13,88.0,88.0,88.0,88.0
2019-11-14,90.0,90.75,90.0,90.75
2019-11-15,90.25,90.75,90.25,90.75
2019-11-18,90.0,90.0,90.0,90.0
2019-11-19,89.75,89.75,89.75,89.75
2019-11-20,89.75,89.75,89.75,89.75
2019-11-21,89.75,90.0,89.75,90.0
2019-11-22,90.0,90.0,90.0,90.0
2019-11-25,90.0,90.0,90.0,90.0
2019-11-26,90.0,90.0,90.0,90.0
2019-11-27,90.0,90.0,90.0,90.0
2019-11-28,89.5,89.5,89.5,89.5
2019-11-29,89.5,89.5,89.5,89.5
2019-12-02,89.5,89.5,89.5,89.5
2019-12-03,90.0,90.0,90.0,90.0
2019-12-04,90.0,90.0,90.0,90.0
2019-12-06,90.0,90.0,90.0,90.0
2019-12-09,89.0,89.0,89.0,89.0
2019-12-11,89.0,89.0,89.0,89.0
2019-12-12,89.0,89.0,89.0,89.0
2019-12-13,88.0,88.0,88.0,88.0
2019-12-16,88.0,88.0,88.0,88.0
2019-12-17,88.0,88.0,88.0,88.0
2019-12-18,91.0,91.0,91.0,91.0
